LINE,STATION,LONGITUDE,LATITUDE,HEIGHT_SEA_LEVEL_M,HEIGHT_ELLIPSOID_M
0,5000,21.077,-31.156,1096.9,1097
0,5001,20.011,-31.593,1119.4,1119.5
0,5002,20.019,-31.689,1174.7,1174.8
0,5003,20.019,-31.841,1357.8,1357.9
0,5004,20.019,-31.381,1069.6,1069.7
0,5005,20.02,-31.473,1090.8,1090.9
0,5006,20.021,-31.52,1082.8,1082.9
0,5007,20.037,-31.973,1280.9,1281
0,5008,20.043,-31.886,1429.7,1429.8
0,5009,20.045,-31.184,1079.9,1080
0,5010,20.062,-31.742,1243.6,1243.7
0,5011,20.084,-31.512,1080.5,1080.6
0,5012,20.085,-31.463,1082.3,1082.4
0,5013,20.088,-31.802,1267.1,1267.2
0,5014,20.095,-31.139,1082.9,1083
0,5015,20.106,-31.615,1241.3,1241.4
0,5016,20.112,-31.333,1040.1,1040.2
0,5017,20.12,-31.973,1196.3,1196.4
0,5018,20.124,-31.859,1264.6,1264.7
0,5019,20.128,-31.405,1007.5,1007.6
0,5020,20.135,-31.783,1199.6,1199.7
0,5021,20.157,-31.107,1033.3,1033.4
0,5022,20.158,-31.022,1012.5,1012.6
0,5023,20.16,-31.461,1036.7,1036.8
0,5024,20.167,-31.664,1221,1221.1
0,5025,20.188,-31.951,1171.7,1171.8
0,5026,20.19,-31.288,1019.1,1019.2
0,5027,20.198,-31.766,1140,1140.1
0,5028,20.201,-31.415,1026,1026.1
0,5029,20.206,-31.513,1083.7,1083.8
0,5030,20.211,-31.89,1150.9,1151
0,5031,20.235,-31.056,993.6,993.7
0,5032,20.238,-31.73,1099.8,1099.9
0,5033,20.242,-31.446,1020.8,1020.9
0,5034,20.244,-31.247,998.7,998.8
0,5035,20.251,-31.366,1005.7,1005.8
0,5036,20.269,-31.813,1091.3,1091.4
0,5037,20.27,-31.305,1000.3,1000.4
0,5038,20.275,-31.171,984.6,984.7
0,5039,20.281,-31.507,1026.3,1026.4
0,5040,20.283,-31.734,1146.9,1147
0,5041,20.285,-31.648,1082.9,1083
0,5042,20.286,-31.583,1040.5,1040.6
0,5043,20.295,-31.101,980,980.1
0,5044,20.298,-31.033,966.2,966.3
0,5045,20.3,-31.954,1251.1,1251.2
0,5046,20.304,-31.367,1007.4,1007.5
0,5047,20.315,-31.879,1184.6,1184.7
0,5048,20.321,-31.308,995.8,995.9
0,5049,20.336,-31.439,1066.4,1066.5
0,5050,20.348,-31.712,1062.4,1062.5
0,5051,20.359,-31.521,1080.7,1080.8
0,5052,20.372,-31.829,1084.7,1084.8
0,5053,20.376,-31.244,1017.1,1017.2
0,5054,20.407,-31.885,1106.7,1106.8
0,5055,20.414,-31.685,1097.8,1097.9
0,5056,20.415,-31.176,1005.9,1006
0,5057,20.419,-31.948,1130.4,1130.5
0,5058,20.419,-31.439,1048.4,1048.5
0,5059,20.42,-31.05,974.1,974.2
0,5060,20.442,-31.778,1209.9,1210
0,5061,20.453,-31.247,1024.4,1024.5
0,5062,20.463,-31.828,1187.2,1187.3
0,5063,20.469,-31.639,1149.7,1149.8
0,5064,20.47,-31.389,1052.5,1052.6
0,5065,20.474,-31.996,1304.9,1305
0,5066,20.475,-31.126,1023.9,1024
0,5067,20.477,-31.06,997.7,997.8
0,5068,20.519,-31.972,1243.5,1243.6
0,5069,20.525,-31.558,1076.9,1077
0,5070,20.525,-31.339,1109.5,1109.6
0,5071,20.528,-31.611,1095.9,1096
0,5072,20.535,-31.801,1160.9,1161
0,5073,20.545,-31.073,985.8,985.9
0,5074,20.556,-31.024,994.3,994.4
0,5075,20.556,-31.716,1172.6,1172.7
0,5076,20.56,-31.871,1157.9,1158
0,5077,20.573,-31.171,1023.2,1023.3
0,5078,20.581,-31.241,1048.2,1048.3
0,5079,20.584,-31.105,985.7,985.8
0,5080,20.586,-31.982,1212.6,1212.7
0,5081,20.6,-31.471,1096.7,1096.8
0,5082,20.605,-31.626,1064.5,1064.6
0,5083,20.617,-31.82,1161.7,1161.8
0,5084,20.619,-31.096,1009.1,1009.2
0,5085,20.635,-31.106,985.8,985.9
0,5086,20.656,-31.745,1143.9,1144
0,5087,20.657,-31.692,1099.4,1099.5
0,5088,20.659,-31.545,1110.3,1110.4
0,5089,20.672,-31.999,1288,1288.1
0,5090,20.685,-31.794,1193.4,1193.5
0,5091,20.691,-31.121,1009.6,1009.7
0,5092,20.701,-31.404,1059.8,1059.9
0,5093,20.705,-31.934,1271,1271.1
0,5094,20.72,-31.334,1040.7,1040.8
0,5095,20.736,-31.872,1220.5,1220.6
0,5096,20.737,-31.125,1020.6,1020.7
0,5097,20.741,-31.477,1120.1,1120.2
0,5098,20.746,-31.37,1032.6,1032.7
0,5099,20.755,-31.994,1264.9,1265
0,5100,20.761,-31.747,1114.4,1114.5
0,5101,20.785,-31.051,1064.7,1064.8
0,5102,20.791,-31.404,1079.2,1079.3
0,5103,20.798,-31.823,1133.9,1134
0,5104,20.805,-31.151,1093.4,1093.5
0,5105,20.806,-31.779,1110.8,1110.9
0,5106,20.827,-31.347,1037.5,1037.6
0,5107,20.83,-31.919,1187.2,1187.3
0,5108,20.834,-31.208,1088.3,1088.4
0,5109,20.845,-31.058,1108.2,1108.3
0,5110,20.848,-31.609,1152.7,1152.8
0,5111,20.852,-31.535,1215.4,1215.5
0,5112,20.854,-31.722,1135,1135.1
0,5113,20.863,-31.966,1229.9,1230
0,5114,20.863,-31.478,1128.9,1129
0,5115,20.864,-31.794,1122.2,1122.3
0,5116,20.89,-31.276,1130.8,1130.9
0,5117,20.893,-31.403,1056.1,1056.2
0,5118,20.895,-31.195,1104.1,1104.2
0,5119,20.896,-31.844,1131.2,1131.3
0,5120,20.904,-31.129,1125.1,1125.2
0,5121,20.907,-31.67,1138.3,1138.4
0,5122,20.923,-31.731,1209.1,1209.2
0,5123,20.936,-31.058,1146.6,1146.7
0,5124,20.94,-31.81,1188.9,1189
0,5125,20.967,-31.809,1229.8,1229.9
0,5126,20.971,-31.499,1114,1114.1
0,5127,20.972,-31.38,1072.3,1072.4
0,5128,20.979,-31.326,1114,1114.1
0,5129,20.981,-31.003,1131.3,1131.4
0,5130,20.985,-31.895,1153.7,1153.8
0,5131,20.987,-31.945,1182.6,1182.7
0,5132,20.992,-31.697,1160.1,1160.2
0,5133,20.994,-31.271,1186.3,1186.4
0,5134,21.012,-31.984,1256.5,1256.6
0,5135,21.017,-31.613,1190.8,1190.9
0,5136,21.018,-31.14,1189,1189.1
0,5137,21.018,-31.205,1146.7,1146.8
0,5138,21.021,-31.554,1180.8,1180.9
0,5139,21.026,-31.673,1197.2,1197.3
0,5140,21.026,-31.076,1233.9,1234
0,5141,21.041,-31.837,1200.4,1200.5
0,5142,21.059,-31.724,1193.6,1193.7
0,5143,21.061,-31.316,1106.2,1106.3
0,5144,21.061,-31.507,1124.7,1124.8
0,5145,21.08,-31.686,1219.7,1219.8
0,5146,21.087,-31.958,1206.3,1206.4
0,5147,21.093,-31.765,1212.8,1212.9
0,5148,21.095,-31.44,1104.9,1105
0,5149,21.112,-31.022,1266.8,1266.9
0,5150,21.116,-31.913,1198.2,1198.3
0,5151,21.121,-31.34,1074.3,1074.4
0,5152,21.127,-31.27,1085.4,1085.5
0,5153,21.132,-31.645,1161.3,1161.4
0,5154,21.145,-31.862,1244.3,1244.4
0,5155,21.153,-31.411,1107.9,1108
0,5156,21.164,-31.805,1254.9,1255
0,5157,21.18,-31.047,1324.3,1324.4
0,5158,21.181,-31.519,1106.4,1106.5
0,5159,21.19,-31.446,1168.6,1168.7
0,5160,21.192,-31.097,1215.6,1215.7
0,5161,21.192,-31.629,1160.2,1160.3
0,5162,21.198,-31.341,1094.8,1094.9
0,5163,21.204,-31.311,1094.8,1094.9
0,5164,21.208,-31.388,1143.6,1143.7
0,5165,21.211,-31.163,1150.1,1150.2
0,5166,21.212,-31.246,1144.5,1144.6
0,5167,21.214,-31.769,1237,1237.1
0,5168,21.231,-31.563,1237.8,1237.9
0,5169,21.238,-31.023,1303.6,1303.7
0,5170,21.239,-31.952,1279.8,1279.9
0,5171,21.253,-31.661,1176.8,1176.9
0,5172,21.266,-31.376,1109.6,1109.7
0,5173,21.268,-31.207,1182.9,1183
0,5174,21.27,-31.716,1229.6,1229.7
0,5175,21.285,-31.992,1276.9,1277
0,5176,21.295,-31.772,1292.1,1292.2
0,5177,21.302,-31.93,1272.9,1273
0,5178,21.304,-31.499,1180.3,1180.4
0,5179,21.314,-31.248,1125.2,1125.3
0,5180,21.322,-31.434,1130.4,1130.5
0,5181,21.333,-31.675,1229.4,1229.5
0,5182,21.347,-31.963,1324.7,1324.8
0,5183,21.349,-31.802,1294.6,1294.7
0,5184,21.362,-31.073,1192.9,1193
0,5185,21.372,-31.137,1196.7,1196.8
0,5186,21.384,-31.276,1160.4,1160.5
0,5187,21.391,-31.479,1159.9,1160
0,5188,21.394,-31.736,1265,1265.1
0,5189,21.397,-31.202,1198.3,1198.4
0,5190,21.419,-31.798,1264.6,1264.7
0,5191,21.424,-31.538,1171.3,1171.4
0,5192,21.428,-31.932,1302.6,1302.7
0,5193,21.444,-31.634,1225.6,1225.7
0,5194,21.455,-31.703,1234.3,1234.4
0,5195,21.465,-31.261,1165.5,1165.6
0,5196,21.469,-31.774,1227.1,1227.2
0,5197,21.477,-31.866,1256.4,1256.5
0,5198,21.485,-31.978,1313.5,1313.6
0,5199,21.487,-31.331,1201.1,1201.2
0,5200,21.489,-31.466,1157.3,1157.4
0,5201,21.497,-31.393,1195.3,1195.4
0,5202,21.506,-31.512,1140.7,1140.8
0,5203,21.51,-31.989,1317.6,1317.7
0,5204,21.513,-31.205,1220.3,1220.4
0,5205,21.535,-31.022,1328.1,1328.2
0,5206,21.54,-31.773,1205,1205.1
0,5207,21.542,-31.844,1226.5,1226.6
0,5208,21.551,-31.882,1235.5,1235.6
0,5209,21.558,-31.718,1188.7,1188.8
0,5210,21.56,-31.574,1162.7,1162.8
0,5211,21.561,-31.989,1317.5,1317.6
0,5212,21.566,-31.174,1255.3,1255.4
0,5213,21.569,-31.07,1334.8,1334.9
0,5214,21.57,-31.639,1183.4,1183.5
0,5215,21.609,-31.948,1274.2,1274.3
0,5216,21.61,-31.395,1249.6,1249.7
