longitude,latitude,height_sea_level_m,gravity_mgal
18.34444,-34.12971,32.2,979656.12
18.36028,-34.08833,592.5,979508.21
18.37418,-34.19583,18.4,979666.46
18.40388,-34.23972,25.0,979671.03
18.41112,-34.16444,228.7,979616.11
18.42557,-34.29778,104.0,979662.74
18.44305,-34.11417,507.2,979542.56
18.45860,-34.20500,8.9,979662.48
18.48611,-34.08528,19.0,979642.88
18.50333,-34.03555,15.1,979640.22
18.54388,-34.07861,34.7,979640.33
18.59306,-34.04916,59.6,979633.95
18.65250,-34.07167,64.8,979636.03
18.66722,-34.01418,43.9,979633.34
18.71722,-34.06194,75.5,979631.50
18.71889,-34.03082,19.3,979640.54
18.79668,-34.00307,111.0,979603.90
18.81917,-34.08083,15.4,979639.82
18.82195,-34.30750,308.2,979599.90
18.83528,-34.18140,459.4,979550.75
18.84778,-34.13861,14.0,979649.72
18.85001,-34.36583,312.2,979612.14
18.85306,-34.04222,445.0,979539.95
18.85500,-34.24028,43.6,979654.78
18.87807,-34.20639,704.6,979510.02
18.88528,-34.09473,296.5,979574.06
18.89610,-34.30750,500.7,979567.94
18.94556,-34.13472,631.7,979503.00
18.95721,-34.28082,695.2,979500.25
19.00250,-34.33667,38.0,979656.59
19.00500,-34.67799,0.0,979719.40
19.01740,-34.21436,195.0,979611.67
19.02417,-34.58282,0.0,979696.11
19.04019,-34.18802,322.0,979582.47
19.05104,-34.09328,487.7,979530.74
19.07700,-34.76401,0.0,979723.80
19.08740,-34.32909,30.0,979658.88
19.10091,-34.30179,371.9,979585.69
19.11142,-34.03310,313.9,979555.28
19.11440,-34.27243,452.0,979564.96
19.11513,-34.23428,263.0,979596.95
19.12000,-34.74699,0.0,979732.10
19.12845,-34.19540,323.0,979579.82
19.13931,-34.05875,326.1,979556.68
19.15000,-34.35167,11.6,979668.95
19.16100,-34.77901,0.0,979737.50
19.16350,-34.69417,0.0,979706.21
19.16351,-34.40790,31.0,979672.39
19.19000,-34.28167,18.0,979654.95
19.20113,-34.05086,342.0,979552.63
19.21478,-34.27176,45.0,979645.50
19.22462,-34.19405,79.0,979625.09
19.23602,-34.02841,306.0,979558.75
19.24402,-34.42171,17.7,979678.03
19.26639,-34.39957,41.0,979663.39
19.26700,-34.74000,0.0,979743.86
19.27220,-34.18678,285.0,979587.00
19.27290,-34.01733,337.0,979556.51
19.28600,-34.86700,0.0,979740.60
19.30444,-34.05447,472.4,979530.74
19.31317,-34.79832,0.0,979713.30
19.31900,-34.27435,113.0,979634.84
19.33327,-34.24504,173.0,979618.73
19.34772,-34.08888,265.2,979581.13
19.35654,-34.17191,262.4,979593.74
19.35851,-34.33372,189.0,979628.84
19.36101,-34.45151,38.0,979683.65
19.36177,-34.29485,190.0,979621.29
19.36333,-34.55667,24.4,979699.55
19.36485,-34.56136,50.9,979693.70
19.36900,-34.90700,0.0,979746.10
19.39317,-34.84683,0.0,979718.18
19.40419,-34.42847,5.0,979682.13
19.40700,-34.81200,0.0,979740.90
19.40869,-34.59938,14.0,979706.50
19.41167,-34.22167,210.3,979609.15
19.41832,-34.06960,242.8,979589.76
19.42000,-34.93201,0.0,979754.20
19.42200,-34.29756,280.0,979604.91
19.43500,-34.51000,183.5,979656.15
19.45833,-34.57333,114.0,979681.25
19.45862,-34.07281,247.0,979592.60
19.46500,-34.83099,0.0,979741.90
19.46500,-34.95300,0.0,979751.50
19.47318,-34.89517,0.0,979729.57
19.48119,-34.14964,284.0,979591.00
19.48856,-34.25705,266.0,979608.62
19.49033,-34.41591,107.0,979656.28
19.49469,-34.22704,333.0,979592.35
19.50594,-34.13893,343.0,979580.03
19.55400,-34.99600,0.0,979750.20
19.57642,-34.23868,293.0,979599.62
19.58333,-34.59500,75.9,979688.05
19.60237,-34.16486,288.0,979592.98
19.60419,-34.05357,223.0,979594.49
19.63667,-34.19667,290.5,979598.12
19.63699,-34.88300,0.0,979748.30
19.71713,-34.11861,205.0,979610.63
19.72166,-34.18500,218.8,979612.92
19.74800,-34.97900,0.0,979747.00
19.76334,-34.59000,44.5,979698.19
19.80000,-34.16833,249.3,979607.42
19.86333,-34.63834,20.7,979710.19
19.86501,-34.88000,0.0,979745.10
19.89500,-34.15500,156.7,979620.51
19.92999,-34.70000,10.4,979726.18
19.97501,-34.14999,135.3,979623.51
19.98000,-34.87801,0.0,979747.20
20.00667,-34.40833,93.0,979672.30
20.00833,-34.83167,3.0,979736.48
20.01334,-34.47000,45.4,979685.49
20.02667,-34.29500,149.7,979644.41
20.02667,-34.34000,143.9,979652.50
20.02834,-34.73666,5.2,979731.78
20.03999,-34.22501,204.2,979625.51
20.03999,-34.67500,7.6,979723.28
20.04333,-34.12500,154.2,979618.71
20.05167,-34.56332,55.2,979689.29
20.05167,-34.19333,306.9,979600.32
20.05499,-34.60834,12.2,979708.79
20.05499,-34.52167,47.2,979692.99
20.05499,-34.80333,2.4,979734.58
20.07333,-34.14166,181.3,979619.11
20.08501,-34.02834,276.8,979578.52
20.10834,-34.09000,105.8,979622.21
20.14500,-34.09167,113.7,979620.61
20.28000,-34.10667,111.9,979625.01
20.36501,-34.10667,92.3,979631.91
20.42168,-34.02333,112.2,979613.22
20.53000,-34.03667,71.6,979623.01
20.58501,-34.00333,93.9,979604.12
20.61000,-34.06000,192.6,979608.62
20.62000,-34.11667,135.0,979632.71
20.66667,-34.19167,161.2,979641.21
20.69000,-34.08833,232.9,979607.92
20.69000,-34.25667,116.4,979660.00
20.70500,-34.00667,137.5,979606.82
20.73833,-34.32333,100.3,979672.50
20.77167,-34.10500,173.4,979624.31
20.78999,-34.36833,82.0,979676.00
20.83167,-34.34833,47.5,979683.50
20.84500,-34.11501,157.9,979632.21
20.85001,-34.29668,87.2,979673.50
20.85500,-34.39500,18.3,979693.49
20.87500,-34.25500,100.9,979666.20
20.90334,-34.18167,165.2,979641.11
20.91167,-34.11333,115.2,979640.91
20.96167,-34.04333,96.6,979625.81
20.96667,-34.09500,78.3,979644.31
20.97000,-34.00667,506.0,979539.34
21.01167,-34.08833,146.3,979628.81
21.08333,-34.10500,212.4,979622.21
21.16167,-34.10834,217.0,979621.71
21.25500,-34.09666,154.5,979633.51
21.28667,-34.14500,91.1,979654.70
21.41167,-34.18500,160.3,979642.71
21.49167,-34.20000,159.4,979642.21
21.57333,-34.21500,204.8,979627.21
21.63834,-34.21001,176.5,979633.71
21.70168,-34.19833,146.3,979640.71
