,Station,Line,seconds_elapsed,RawGrav,Lon,Lat,Height_Sea_Level_m,Height_Ellipsoid_m,grav_drift
0,2000,100,9885.25,3384.5359875,119.64322075,-32.363164499999996,379.0,353.31,4.547473508864641e-13
1,2001,100,1246.0,3384.6746,119.643143,-32.362728,379.0,353.31,0.0896793238302962
2,2002,100,2107.0,3384.5311,119.642952,-32.362442,379.0,353.31,-0.04894392590949792
3,2003,100,2582.0,3384.4420499999997,119.642685,-32.361912,380.0,354.31,-0.13530350038899996
4,2004,100,3108.0,3384.5016,119.642609,-32.361549,380.0568848,354.3668848,-0.07277420812761193
5,2005,100,3547.0,3384.5743,119.642456,-32.36113,380.2337646,354.5437646,0.0024123114590111072
6,2006,100,4360.0,3384.6784500000003,119.642334,-32.36068,380.4883118,354.7983118,0.11116718714038143
7,2007,100,4819.0,3384.64225,119.642189,-32.360249,379.4573059,353.7673059,0.07756698780076476
8,2008,100,5292.0,3384.53625,119.642029,-32.359821,380.0904236,354.4004236,-0.02575391478558231
9,2009,100,5831.0,3384.6625,119.641991,-32.359356,380.8971252,355.2071252,0.10354901017399243
10,2010,100,6368.0,3384.6805999999997,119.641899,-32.358906,379.7887878,354.0987878,0.1246906070255136
11,2011,100,6817.0,3384.6629000000003,119.641785,-32.358456,379.0667114,353.3767114,0.10953376714996921
12,2012,100,13284.0,3384.5034,119.641617,-32.357983,379.870636,354.180636,-0.01333679739082072
13,2013,100,13979.0,3384.4040999999997,119.641533,-32.357674,379.6863708,353.9963708,-0.10870028005001586
14,2014,100,14669.0,3384.3334,119.64138,-32.357178,378.446228,352.756228,-0.17549208297759833
15,2015,100,15164.0,3384.2493000000004,119.641342,-32.356682,380.1652222,354.4752222,-0.25678837638179175
16,2016,100,16896.0,3384.2934,119.641151,-32.356236,380.6453857,354.9553857,-0.20287823532498805
17,2017,100,17607.0,3384.24315,119.64106,-32.3559,379.8978271,354.2078271,-0.24910109312486384
18,2018,100,18101.0,3384.0611,119.64106,-32.355309,379.8464661,354.1564661,-0.428353050583155
0,1996,100,2791.0,3383.61225,119.643524,-32.3652,381.7957764,356.1057764,-0.9706177742127693
1,1997,100,2045.0,3383.8074500000002,119.643593,-32.36462,382.3528137,356.6628137,-0.7768436560486407
2,1998,100,1630.0,3384.01585,119.643463,-32.364124,382.0766907,356.3866907,-0.5692368744967098
3,1999,100,1213.0,3384.2229500000003,119.64325,-32.363739,381.2293701,355.5393701,-0.36293391568324296
4,2000,0,8669.0,3384.33195,119.641022,-32.363186,380.7261963,355.0361963,-0.2396827428051438
5,2000,50,9715.0,3384.35065,119.642151,-32.363243,380.4863281,354.7963281,-0.21898345004365183
6,2000,100,5913.25,3384.5769,119.64322075,-32.363164499999996,379.0,353.31,-1.8189894035458565e-12
7,2000,150,10197.0,3384.25355,119.644279,-32.363152,382.1535339,356.4635339,-0.31516216982254264
8,2000,200,10590.0,3383.9408000000003,119.645218,-32.363209,382.4130554,356.7230554,-0.6271610015091937
9,2001,150,12726.0,3384.30035,119.644241,-32.362873,381.02948,355.33948,-0.2635283157169397
10,2001,200,11273.0,3384.0398999999998,119.64518,-32.362751,382.0910339,356.4010339,-0.5267555359682774
11,2002,150,12216.0,3384.3309499999996,119.644318,-32.362434,381.8186646,356.1286646,-0.23390311429147914
12,2002,200,11646.0,3384.0534500000003,119.645355,-32.362396,384.008606,358.318606,-0.5124925950499346
